Brand_ID,Product_ID,Product_Name ,Product_Image
30,1,Victoria's Secret LaceUp Stilettos,Victoria's Secret_LaceUp_Stilettos.png
30,2,Angel Wing Embellished Sandals,Victoria's Secret_Angel_Wing_Embellished_Sandals.png
30,3,Dreamy Velvet Booties,Victoria's Secret_Dreamy_Velvet_Booties.png
30,4,Satin Bow Ballet Flats,Victoria's Secret_Satin_Bow_Ballet_Flats.png
30,5,Sequin SlipOn Sneakers,Victoria's Secret_Sequin_SlipOn_Sneakers.png
30,6,Strappy LingerieInspired Heels,Victoria's Secret_Strappy_LingerieInspired_Heels.png
30,7,VS Logo HighTop Sneakers,Victoria's Secret_VS_Logo_HighTop_Sneakers.png
30,8,RuffleTrimmed Slingbacks,Victoria's Secret_RuffleTrimmed_Slingbacks.png
30,9,Floral Lace Espadrilles,Victoria's Secret_Floral_Lace_Espadrilles.png
30,10,Embroidered ThighHigh Boots,Victoria's Secret_Embroidered_ThighHigh_Boots.png
31,11,F21 Faux Leather Ankle Boots,Forever_21_F21_Faux_Leather_Ankle_Boots.png
31,12,Ruffle Trim Block Heels,Forever_21_Ruffle_Trim_Block_Heels.png
31,13,Mesh Panel Sneaker Boots,Forever_21_Mesh_Panel_Sneaker_Boots.png
31,14,Studded Western Booties,Forever_21_Studded_Western_Booties.png
31,15,Camo Print SlipOns,Forever_21_Camo_Print_SlipOns.png
31,16,Transparent Heel Mules,Forever_21_Transparent_Heel_Mules.png
31,17,F21 Logo HighTop Sneakers,Forever_21_F21_Logo_HighTop_Sneakers.png
31,18,Denim OvertheKnee Boots,Forever_21_Denim_OvertheKnee_Boots.png
31,19,Leopard Print Loafers,Forever_21_Leopard_Print_Loafers.png
31,20,Buckle Strap Combat Boots,Forever_21_Buckle_Strap_Combat_Boots.png
32,21,Topshop Suede Ankle Boots,Topshop_Topshop_Suede_Ankle_Boots.png
32,22,Buckled Biker Booties,Topshop_Buckled_Biker_Booties.png
32,23,Topshop Logo SlipOns,Topshop_Topshop_Logo_SlipOns.png
32,24,Crocodile Embossed Heels,Topshop_Crocodile_Embossed_Heels.png
32,25,Striped Pointed Flats,Topshop_Striped_Pointed_Flats.png
32,26,Embellished Loafer Mules,Topshop_Embellished_Loafer_Mules.png
32,27,Topshop Western Boots,Topshop_Topshop_Western_Boots.png
32,28,Satin Wraparound Sandals,Topshop_Satin_Wraparound_Sandals.png
32,29,Mesh Insert Sneakers,Topshop_Mesh_Insert_Sneakers.png
32,30,Clear Block Heel Booties,Topshop_Clear_Block_Heel_Booties.png
33,31,Uniqlo Canvas SlipOns,Uniqlo_Uniqlo_Canvas_SlipOns.png
33,32,Classic White Sneakers,Uniqlo_Classic_White_Sneakers.png
33,33,Uniqlo Logo HighTops,Uniqlo_Uniqlo_Logo_HighTops.png
33,34,Minimalist Suede Loafers,Uniqlo_Minimalist_Suede_Loafers.png
33,35,Striped Espadrille Flats,Uniqlo_Striped_Espadrille_Flats.png
33,36,SlipResistant Work Shoes,Uniqlo_SlipResistant_Work_Shoes.png
33,37,Uniqlo Slipper Mules,Uniqlo_Uniqlo_Slipper_Mules.png
33,38,UltraLight Running Shoes,Uniqlo_UltraLight_Running_Shoes.png
33,39,Uniqlo FlipFlops,Uniqlo_Uniqlo_FlipFlops.png
33,40,Breathable Mesh Sneakers,Uniqlo_Breathable_Mesh_Sneakers.png
34,41,Mango Leather Ankle Boots,Mango_Mango_Leather_Ankle_Boots.png
34,42,Suede Fringe Booties,Mango_Suede_Fringe_Booties.png
34,43,Embellished TStrap Sandals,Mango_Embellished_TStrap_Sandals.png
34,44,Mango Logo SlipOn Sneakers,Mango_Mango_Logo_SlipOn_Sneakers.png
34,45,Snakeskin Print Heels,Mango_Snakeskin_Print_Heels.png
